,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
98,-0.057187959598352434,-0.08677773042138348,0.032858898013985005,0.13672553323940884,0.14671260407694509,0.14671260407694509,0.0769230769230771,-0.3265306122448979,-0.7533897608677788,-3.803232178605046,-3.398296300097501,11.10763293310463,0.0824203011239133,0.14556962025316444,-0.11255742725880546,-0.015037593984962294,0.030303030303030276,0.07299270072992692,0.07873134328358211,0.09583501819652263,0.040103492884864256,-0.05128205128205132
97,-0.057187959598352434,-0.08677773042138348,0.032858898013985005,0.13672553323940884,0.14671260407694509,0.14671260407694509,0.0769230769230771,-0.3265306122448979,-0.7533897608677788,-3.803232178605046,-3.398296300097501,11.10763293310463,0.0824203011239133,0.14556962025316444,-0.11255742725880546,-0.015037593984962294,0.030303030303030276,0.07299270072992692,0.07873134328358211,0.09583501819652263,0.040103492884864256,-0.05128205128205132
96,0.4756465718697771,0.49937994594400537,0.41178759694201417,0.13672553323940884,0.14671260407694509,0.14671260407694509,0.0769230769230771,-0.3265306122448979,-0.7533897608677788,-3.803232178605046,-3.398296300097501,11.10763293310463,0.9672827009730294,0.1049723756906078,-0.11255742725880546,-0.015037593984962294,0.24999999999999978,0.07299270072992692,0.07873134328358211,-0.04354243542435432,0.040103492884864256,-0.05128205128205132
95,0.06449396214769054,0.077846826582604,0.026336521788428158,0.019899694471666507,0.09430812885995654,0.09430812885995654,0.03571428571428559,-0.3265306122448979,4.398200599800067,-0.4787107758518764,-0.5710849973039824,-0.20651673454931818,0.3718506224066389,0.04499999999999993,-0.11255742725880546,-0.015037593984962294,0.0235294117647058,-0.16326530612244894,0.07873134328358211,-0.03587962962962954,0.040103492884864256,-0.05128205128205132
94,-0.10248090158514345,-0.07903529026468015,-0.17284216340796754,0.13260645934366555,-8.276235509456985,-8.276235509456985,-8.068965517241379,-0.3265306122448979,-0.20166666666666666,-1.6646193206561184,-2.2175639541844596,-2.0226298875200857,-0.2771916664650229,-0.014354066985645786,-0.11255742725880546,-0.015037593984962294,-0.1724137931034483,-0.03658536585365846,0.07873134328358211,-0.07843137254901966,0.040103492884864256,-0.05128205128205132
93,0.06313587393829834,0.0717025134438336,0.034511423979072475,-0.02831078484701799,-1.1536695805295265,-1.1536695805295265,-1.15609756097561,-0.3265306122448979,-0.29552308049176523,-2.964877076593363,-1.941286854483177,-0.5264283531927895,-0.18161123478901298,0.03398058252427183,-0.11255742725880546,-0.015037593984962294,0.0277777777777779,0.24894514767932474,0.07873134328358211,-0.026921406860616615,0.040103492884864256,-0.05128205128205132
92,-0.05875233058045859,-0.08773503613961986,0.04157160060456455,0.009008268707308309,0.03730986972239281,0.03730986972239281,0.03125,-0.3265306122448979,2.157501920755131,-1.7287847104021785,-2.305269480886923,-2.1523502304147466,0.2557216779498088,0.07042253521126751,-0.035375323554788674,-0.015037593984962294,0.04054054054054057,0.04054054054054057,0.07873134328358211,0.1066488174921909,0.040103492884864256,0.05405405405405417
91,-0.032705916027499615,-0.05528726355078262,0.03575573008494959,0.0006158889160354786,0.03425828511309836,0.03425828511309836,0.030303030303030276,-0.3265306122448979,-0.43609218576195774,-0.499961869173133,-0.4847100410177744,-0.3889466528033272,0.12443807414163799,0.09649122807017552,-0.02951699463327373,-0.015037593984962294,0.025974025974025983,0.05519480519480524,0.07873134328358211,0.07096774193548394,0.040103492884864256,0.0512820512820511
90,0.04583947989662818,0.045542794722029045,0.046659898979894976,0.07082941221354622,0.022696929238985364,0.022696929238985364,0.02941176470588225,-0.3265306122448979,0.2543381106487903,-2.6880373653607856,-1.7720165674346364,0.544109947643979,0.17088185874036732,0.09200000000000008,-2.190783410138249,-2.236641221374046,0.05063291139240489,0.06461538461538452,0.07873134328358211,0.0007530120481926694,0.040103492884864256,0.024390243902439046
89,0.10586218947780979,0.13005968246899724,0.03902063989591342,-0.019281835931005298,0.1278130050976003,0.1278130050976003,0.11428571428571432,-0.3265306122448979,-0.29031623952625496,1.7199986447722089,1.898635281494149,-4.311943714503688,-0.4833545705343115,-0.02564102564102555,0.015479876160990669,0.040123456790123635,0.03614457831325302,-0.07514450867052014,0.07873134328358211,-0.06057185854025571,0.040103492884864256,0.0
