Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
1999-02-28,0.037139016721003726,0.028296165884194036,0.05296133005755066,0.2501832884918531,0.4209676261574904,0.4209676261574904,0.41666666666666674,0.3999999999999999,-0.6814556331006979,0.23711434587567526,-0.9129443778184547,-1.9919014345324806,-0.39355198965496974,-0.023887973640856708,-0.09470616804273913,0.1140065146579805,0.05279999999999996,-0.16842105263157892,0.1383177570093459,0.6313213703099512,0.015341701534170138,-0.08538899430740032,-0.10666666666666658
1999-05-31,0.037139016721003726,0.028296165884194036,0.05296133005755066,0.2501832884918531,0.4209676261574904,0.4209676261574904,0.41666666666666674,0.3999999999999999,-0.6814556331006979,0.23711434587567526,-0.9129443778184547,-1.9919014345324806,-0.39355198965496974,-0.023887973640856708,-0.09470616804273913,0.1140065146579805,0.05279999999999996,-0.16842105263157892,0.1383177570093459,0.6313213703099512,0.015341701534170138,-0.08538899430740032,-0.10666666666666658
1999-08-31,0.025642481368331138,0.006484094505933458,0.05911916396263717,0.10989264001018473,0.14856911924427263,0.14856911924427263,0.1470588235294117,0.1428571428571428,-0.8100547730829422,-2.1290239029083105,-1.9815515991299444,-1.3353993976053569,0.2176560859381309,-0.12151898734177213,-0.09470616804273913,0.1140065146579805,0.05775075987841949,-0.16842105263157892,0.1383177570093459,1.0,0.0326923076923078,-0.08538899430740032,-0.10666666666666658
1999-11-30,-0.06640251034710554,-0.1449871364380837,0.06408927012929633,0.18372733518243511,0.31480219031073386,0.31480219031073386,0.4358974358974359,0.9027777777777779,-48.774459320288365,-1.3330711500016386,13.690906106369008,2.1755974469348374,0.5676382016211412,-0.23535062439961574,-0.09470616804273913,0.1140065146579805,0.27586206896551735,-0.2784810126582279,0.1383177570093459,0.0,0.13966480446927365,-0.08538899430740032,-0.10666666666666658
2000-02-29,-0.002225357410673423,0.10560830779799812,-0.1461033988694258,-0.3398693484224188,-0.6285040476349769,-0.6285040476349769,-0.625,-0.708029197080292,-1.2649593653667894,-1.560956410508708,-0.9341206967831324,-2.578643544919136,-0.571623211218022,0.04396984924623126,-0.09470616804273913,0.1140065146579805,-0.14639639639639646,-0.17543859649122806,0.1383177570093459,0.5,-0.14425770308123254,-0.08538899430740032,-0.10666666666666658
2000-05-31,0.8534758712327113,1.1157887937100446,0.40031140852573843,0.5119142616655761,0.6406735401377697,0.6406735401377697,0.6428571428571428,0.5999999999999999,0.5150676907055454,-32.42203122259252,-29.294776119402986,-1.9090707211275113,1.2130580798103519,0.12154031287605283,-0.09470616804273913,0.1140065146579805,0.10686015831134577,0.3085106382978724,0.1383177570093459,0.3333333333333335,-0.2444080741953083,-0.08538899430740032,-0.10666666666666658
2000-08-31,-0.009440750193413838,-0.03561971951288212,0.05889317825824203,0.4214453923857133,0.6741307867511868,0.6741307867511868,0.43478260869565233,0.40625,-2.389206315111159,-0.8443481804429013,-1.3676225528394854,-1.3451184756941617,-0.1891720598080786,0.24570815450643768,0.012339055793991305,0.1140065146579805,0.042908224076281254,0.12195121951219501,0.24137931034482762,0.0,0.06895306859205785,-0.05809128630705385,0.00746268656716409
2000-11-30,0.002262171541420388,-0.03917822623653322,0.10077752750196667,0.251407665226727,0.7945153834805843,0.7945153834805843,0.7272727272727273,0.6555555555555554,2.901197535350099,-1.5237241329842557,1.2515857098599357,-12.468667421668554,2.6757235806369932,0.2782084409991388,0.1701112877583466,0.1140065146579805,0.09142857142857141,0.23188405797101463,0.20899470899470907,0.25,0.09827760891590676,0.07268722466960353,0.03703703703703698
2001-02-28,-0.022515070485987776,-0.05197867364574438,0.03862263751648243,-0.35893731644181937,-0.5317232686019109,-0.5317232686019109,-0.5146198830409356,-0.49664429530201337,-1.3362913581812705,-2.8942683010340344,-0.853038834072599,-1.9790284886687184,-0.7126786211688736,0.19878706199460905,0.00045289855072461194,0.0029239766081869956,0.03246073298429297,0.09411764705882364,0.15754923413566724,0.0,0.0624231242312423,0.024640657084188833,-0.02142857142857124
2001-05-31,0.08326540935547411,0.0805627884209974,0.08838421637091898,0.2603986080239702,0.892209261498849,0.892209261498849,0.8674698795180724,0.8666666666666665,-0.3118598922792254,-1.6303231870435977,-7.78369921403405,-1.739618486469676,1.8345668716772647,0.1096121416526139,0.15210502489814393,0.22011661807580185,0.08316430020283971,0.07526881720430101,0.006616257088846833,0.19999999999999996,0.004920405209840828,0.14228456913827658,0.07299270072992692
