"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,585161964,585161964,1,16058000000,4247000000,5600000000,3679000000,9289000000,1169000000,0,7737000000,1546000000,2457000000,10000000,10000000,0.02,0.02,0.1,303000000,-114000000,-168000000,30000000,1648000000,91000000,12.5,13.69,11.32,-0.0178,-0.0102,15.87,0.79,None,0.8,None,0.1664,0.5785,None,0.48,0.36,1.1544
2018-12-31,584955729,584955729,1,16227000000,4429000000,5793000000,3712000000,9264000000,1170000000,0,7796000000,936000000,2627000000,95000000,95000000,0.16,0.16,0,245000000,-288000000,-209000000,-268000000,1618000000,99000000,12.7,14.54,10.85,-0.1389,-0.0837,15.84,0.8,None,0.7,None,0.101,0.5709,None,0.48,0.25,1.1932
2018-09-30,584845051,584845051,1,16288000000,4469000000,5858000000,3545000000,9261000000,1169000000,0,7760000000,1186000000,12000000,101000000,101000000,0.17,0.17,0.1,113000000,-121000000,-124000000,-148000000,1886000000,128000000,14.42,16.15,12.7,-0.1515,-0.0981,15.83,0.9,None,0.7,None,0.1281,0.5686,None,0.46,-0.03,1.2606
2018-06-30,583019265,583019265,1,16346000000,4394000000,5849000000,3295000000,9291000000,1206000000,0,7889000000,1490000000,2693000000,-371000000,-371000000,-0.64,-0.64,0,292000000,-177000000,-164000000,-78000000,2034000000,164000000,16.07,16.8,15.35,-0.1486,-0.1031,15.94,0.97,None,0.6,None,0.1604,0.5684,None,0.61,0.22,1.3335
2018-03-31,582897740,582897740,1,13372000000,3986000000,3361000000,2467000000,9695000000,316000000,0,5950000000,184000000,2093000000,-1128000000,-1128000000,-1.94,-1.94,0.1,261000000,32000000,-32000000,256000000,2112000000,-50000000,16.6,17.7,15.5,-0.1488,-0.1104,16.63,0.89,None,0.6,None,0.019,0.725,None,0.59,0.53,1.6157
2017-12-31,582738917,582738917,1,14359000000,3718000000,3181000000,2270000000,10860000000,318000000,0,6198000000,187000000,2180000000,-83000000,-83000000,-0.14,-0.14,0,208000000,-55000000,-171000000,-21000000,1856000000,51000000,15.28,17.05,13.5,-0.0411,-0.0307,18.64,0.82,None,0.5,None,0.0172,0.7563,None,0.57,0.27,1.6379
2017-09-30,582621822,582621822,1,14662000000,3768000000,3446000000,2417000000,10913000000,303000000,0,6223000000,281000000,2058000000,68000000,68000000,0.12,0.12,0.1,-4000000,-121000000,-31000000,-139000000,1877000000,62000000,14,14.9,13.1,-0.0598,-0.0447,18.73,0.76,None,0.5,None,0.0257,0.7443,None,0.56,-0.11,1.559
2017-06-30,581935781,581935781,1,14552000000,3815000000,3459000000,2452000000,10789000000,304000000,0,6119000000,276000000,2080000000,-429000000,-429000000,-0.73,-0.73,0.1,275000000,-56000000,-65000000,166000000,2016000000,-21000000,13.5,14.4,12.6,-0.0665,-0.0498,18.54,0.7,None,0.4,None,0.0256,0.7414,None,0.55,0.51,1.5559
2017-03-31,581811578,581811578,1,14886000000,3762000000,3449000000,2461000000,11139000000,298000000,0,6175000000,273000000,1978000000,-5000000,-5000000,-0.01,-0.01,0,218000000,69000000,-31000000,286000000,1850000000,60000000,12.85,13.8,11.9,-0.0194,-0.0146,19.15,0.68,None,0.3,None,0.0245,0.7483,None,0.55,0.27,1.5286
2016-12-31,581491032,581491032,1,14527000000,3591000000,3279000000,2325000000,10955000000,293000000,0,6089000000,268000000,2116000000,-289000000,-289000000,-0.5,-0.5,0,272000000,-107000000,-62000000,65000000,1564000000,59000000,13.23,15.22,11.25,-0.0318,-0.0238,18.84,0.67,None,0.3,None,0.0245,0.7541,None,0.54,0.37,1.5445
2016-09-30,581344973,581344973,1,15269000000,3328000000,3523000000,2287000000,11530000000,216000000,0,6270000000,377000000,1965000000,-15000000,-15000000,-0.03,-0.03,0.1,-271000000,-11000000,-59000000,-333000000,1499000000,49000000,13.07,14.65,11.5,-0.0009,-0.0007,19.83,0.66,43.57,0.3,None,0.0327,0.7551,None,0.54,-0.55,1.4552
2016-06-30,580168470,580168470,1,15483000000,3889000000,3701000000,2442000000,11564000000,218000000,0,5921000000,369000000,2226000000,90000000,90000000,0.15,0.15,0.1,355000000,-423000000,-54000000,-140000000,1832000000,76000000,12.23,13.55,10.9,0.0154,0.0118,19.93,0.61,None,0.2,0.6488,0.0319,0.7469,0.0216,0.55,0.48,1.5925
2016-03-31,579984133,579984133,1,15716000000,3905000000,3871000000,2648000000,11646000000,199000000,0,5910000000,369000000,1891000000,-149000000,-149000000,-0.26,-0.26,0,236000000,-457000000,303000000,89000000,1972000000,60000000,12.59,14.45,10.74,-0.0246,-0.0191,20.08,0.62,None,0.1,None,0.0317,0.741,None,0.54,0.3,1.4747
2015-12-31,580420854,580420854,1,14875000000,3795000000,2896000000,2096000000,11792000000,187000000,0,5254000000,0,2161000000,63000000,63000000,0.11,0.11,0,181000000,-145000000,-62000000,-15000000,1883000000,57000000,13.99,15.74,12.24,-0.0098,-0.0077,20.32,0.7,None,0.1,None,0,0.7927,None,0.55,0.21,1.8106
2015-09-30,581175285,581175285,1,14756000000,3889000000,2975000000,2166000000,11616000000,165000000,0,5155000000,0,2014000000,175000000,175000000,0.3,0.3,0.1,106000000,-86000000,-37000000,-53000000,1898000000,63000000,13.97,15.62,12.33,-0.003,-0.0024,19.99,0.68,None,0.1,None,0,0.7872,None,0.55,0.07,1.7955
2015-06-30,580629142,580629142,1,15093000000,3975000000,2977000000,2155000000,11945000000,171000000,0,5305000000,0,2141000000,-378000000,-378000000,-0.65,-0.65,0,129000000,-178000000,-30000000,-76000000,1951000000,110000000,15.31,16.45,14.17,-0.0118,-0.0094,20.57,0.72,37.34,0,None,0,0.7914,None,0.55,0.03,1.8445
2015-03-31,583193671,583193671,1,15686000000,4088000000,3160000000,2273000000,12369000000,157000000,0,5823000000,0,2062000000,23000000,23000000,0.04,0.04,0,210000000,-65000000,-4000000,109000000,2027000000,85000000,16.12,17.55,14.68,0.0191,0.0152,21.21,0.74,35.82,0,0,0,0.7885,0.0281,0.54,0.21,1.7985
2014-12-31,580725798,580725798,1,15970000000,4052000000,3203000000,2329000000,12610000000,157000000,0,5926000000,0,2280000000,143000000,143000000,0.24,0.24,0,309000000,-969000000,-130000000,-817000000,1918000000,69000000,15.62,16.96,14.28,0.0208,0.0165,21.71,0.71,33.23,0,0,0,0.7896,0.0309,0.53,0.41,1.7398
2014-09-30,580075788,580075788,1,16123000000,4865000000,3141000000,2293000000,12841000000,141000000,0,5155000000,0,2150000000,65000000,65000000,0.11,0.11,0,183000000,-529000000,-26000000,-410000000,2735000000,114000000,17.37,18.41,16.33,0.0214,None,22.14,0.76,42.37,0,0,0,0.7964,0.032,0.53,0.12,2.1217
2014-06-30,579034975,579034975,1,16489000000,5270000000,3090000000,2264000000,13243000000,156000000,0,4919000000,0,2186000000,13000000,13000000,0.02,0.02,0,51000000,-120000000,-2000000,-62000000,3145000000,135000000,17.25,18.18,16.32,0.0184,None,22.87,0.77,None,0,0,0,0.8031,0.0279,0.52,-0.15,2.3277
2014-03-31,579023225,579023225,1,16543000000,5370000000,3375000000,2498000000,13034000000,134000000,0,4879000000,0,2078000000,48000000,48000000,0.08,0.08,0,396000000,-111000000,-13000000,299000000,3207000000,97000000,16.98,18.53,15.44,None,None,22.51,0.77,None,0,None,0,0.7879,None,None,0.52,2.1497
2013-12-31,579016574,579016574,1,15983000000,5112000000,3112000000,2292000000,12749000000,122000000,0,4848000000,0,2238000000,151000000,151000000,0.26,0.26,0,348000000,-102000000,-1000000,220000000,2908000000,80000000,16.79,18.07,15.51,None,None,22.02,0.76,None,0,None,0,0.7977,None,None,0.46,2.2304
2013-09-30,578849524,578849524,1,16343000000,5230000000,3404000000,2645000000,12821000000,118000000,0,4913000000,0,2072000000,27000000,27000000,0.05,0.05,0,59000000,27000000,205000000,307000000,2688000000,67000000,15.83,17.26,14.39,None,None,22.15,0.73,None,0,None,0,0.7845,None,None,-0.01,1.9773
2013-06-30,578821799,578821799,1,15643000000,4643000000,2967000000,2171000000,12558000000,118000000,0,4911000000,0,None,None,None,None,None,0,None,None,None,None,2381000000,0,15.53,15.8,15.25,None,None,21.7,None,None,0,None,0,0.8028,None,None,None,2.1386
