Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
0,1996-03-31,0.07965209564258235,0.07375235713874284,0.09455326697702683,0.06533046152688549,0.10296835924758074,0.15840093668980515,0.03125,0.2368421052631577,-0.30293002634453514,1.0247632839478666,5.277295669884,-1.6914030819140309,0.4013653483992468,0.038064516129032284,-0.1335453100158982,-0.1172069825436408,-0.0015723270440252124,0.07936507936507953,-0.07706626954579299,1.0,0.013876651982378974,0.015786278081360017,-0.05555555555555547
1,1996-06-30,0.07965209564258235,0.07375235713874284,0.09455326697702683,0.06533046152688549,0.10296835924758074,0.15840093668980515,0.03125,0.2368421052631577,-0.30293002634453514,1.0247632839478666,5.277295669884,-1.6914030819140309,0.4013653483992468,0.038064516129032284,-0.1335453100158982,-0.1172069825436408,-0.0015723270440252124,0.07936507936507953,-0.07706626954579299,1.0,0.013876651982378974,0.015786278081360017,-0.05555555555555547
2,1996-09-30,0.16320341167060334,0.19436348958159289,0.15418400663531706,0.09881077454156983,-0.03351735015772872,-0.09544437224749114,-0.12121212121212133,0.2368421052631577,0.5224685440383463,0.12251118214378055,0.9650582949520028,40.243108504398826,11.812447505459433,0.07271597265382246,-0.1335453100158982,-0.1172069825436408,0.0771653543307087,0.07936507936507953,-0.07706626954579299,0.5084745762711866,-0.007820986313273881,0.015786278081360017,-0.05555555555555547
3,1996-12-31,0.07226954546466513,0.013638535729458834,0.1469781191769728,0.07937553732554492,1.2100163198694411,1.7354138398914518,1.4482758620689655,0.2368421052631577,-0.40638149729058815,-0.2153594306747504,-0.5850777447559978,-1.0375002666401212,-0.034573404569143484,0.14658169177288505,-0.1335453100158982,-0.1172069825436408,0.02997076023391809,0.06617647058823528,-0.07706626954579299,0.348314606741573,0.0696299540179548,0.015786278081360017,-0.05555555555555547
4,1997-03-31,0.04256617350836045,0.033831156567344145,0.05957308253874681,0.05247212255653655,-0.2393501638436332,-0.302608543417367,-0.35211267605633795,0.2368421052631577,0.5734101688000408,-0.06661211435995773,-0.7813216377304302,10.839590443686006,-0.4239938616564022,0.11975745325922182,-0.1335453100158982,-0.1172069825436408,0.02058197303051812,0.08275862068965534,-0.07706626954579299,0.2583333333333333,0.016376663254861867,0.015786278081360017,-0.05555555555555547
5,1997-06-30,0.5221253776216701,0.3327590543789707,0.722598346290475,0.1665641112690699,0.08333838966082152,-0.0029287477511401594,-0.13043478260869568,0.2368421052631577,0.362817230091077,1.4838884538938748,19.31706159262629,-4.627830626821692,2.670419314149642,0.0013537906137184306,-0.1335453100158982,-0.1172069825436408,0.2566063977746871,-0.019108280254777062,-0.07706626954579299,0.20529801324503305,0.13172205438066453,0.015786278081360017,-0.05555555555555547
6,1997-09-30,0.06231200147549965,0.008569042633280509,0.10379151262410402,0.23291923582943785,0.32274776666946714,0.2960429692417439,0.049999999999999815,0.2368421052631577,0.2907222869645873,-0.07082120918202395,-0.6056756783068371,-1.1492479991524265,-0.1085856152724517,0.1460117169896349,-0.03669724770642202,-0.1172069825436408,0.04869950193691186,-0.0844155844155845,0.10286405808793876,0.17582417582417587,0.03897490656700486,0.047818290496114864,-0.058823529411764726
7,1997-12-31,0.4093387503491249,0.6367494963624141,0.2555055242377804,0.16861728807891652,0.28481602235677683,0.2614776921582593,0.19047619047619047,0.2368421052631577,-0.29250428405594153,0.9655381385665488,0.7618542091515532,6.224526013783313,-0.880039200285355,0.006291781360597826,-0.17333333333333326,-0.1172069825436408,0.016358839050132138,-0.042553191489361535,-0.0592538405267008,0.1588785046728971,-0.10911270983213428,-0.10268111808328584,-0.0625
8,1998-03-31,0.03308290452315288,-0.0264100182803213,0.08362378119621439,0.2049208266180784,-0.05108178028243282,-0.07871772496278429,-0.24,0.2368421052631577,0.711614339848684,-0.7678542714383291,-0.8032515358055693,-1.1812866933601909,1.3299294188316564,-0.028526768268855036,-0.10138248847926268,-0.05932203389830504,0.06230529595015578,-0.044444444444444516,0.08592534992223944,0.13306451612903225,0.04902903287829252,-0.07692307692307687,0.0
9,1998-06-30,0.09150848739218342,0.20000623249161892,0.013114714739949074,0.07232285980701336,0.1762203275044716,0.2827134698425964,0.26315789473684204,0.2368421052631577,0.02009281801582463,1.4417747501000868,5.246228793641297,3.2533875338753377,2.4278440219142765,-0.023732904263877752,0.061538461538461535,0.021021021021021102,0.011241446725317685,-0.07751937984496128,0.02219835302542084,0.12099644128113884,-0.07184750733137835,0.010330578512396604,0.0
