,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1994-04-01,0.038474008429698385,0.06070954880828516,0.1399087732757398,0.23872422680412364,-0.034399300271983346,0.17168709813381633,1.6407606448945846,1.6407606448945846,1.666666666666667,1.666666666666667,0.5265251989389921,0.4572573463935885,0.16030972182391734,-1.7761806981519506,-0.06229400131839157,-0.14720812182741114,-0.1488673139158576,0.7222222222222221,-0.014285714285714348,0.19166666666666665,0.3903240958196337,1.1817388458601503,-0.07011514005842923,-0.14432989690721654,-0.0119760479041916,-0.14371995562677187
1,1994-07-01,0.038474008429698385,0.06070954880828516,0.1399087732757398,0.23872422680412364,-0.034399300271983346,0.17168709813381633,1.6407606448945846,1.6407606448945846,1.666666666666667,1.666666666666667,0.5265251989389921,0.4572573463935885,0.16030972182391734,-1.7761806981519506,-0.06229400131839157,-0.14720812182741114,-0.1488673139158576,0.7222222222222221,-0.014285714285714348,0.19166666666666665,0.3903240958196337,1.1817388458601503,-0.07011514005842923,-0.14432989690721654,-0.0119760479041916,-0.14371995562677187
2,1994-09-30,0.02229764434552295,0.01582868481150079,0.0643311216614606,0.08872821846553958,-0.013351532448194536,0.014733345579230894,-1.0405447714464622,-1.0405447714464622,-1.03125,-1.03125,-10.160729800173762,0.900702719217843,-1.961690558576372,-2.142857142857143,0.07592267135325126,0.17261904761904767,-0.1488673139158576,0.7222222222222221,-0.014492753623188246,0.19166666666666665,0.3903240958196337,0.5,-0.034928848641655914,-0.14432989690721654,-0.0119760479041916,-0.06693536778465525
3,1994-12-31,-0.0293378781758894,-0.0837110909640375,-0.026441134625033502,-0.04661073633114832,-0.03198807757124533,-0.12280040126413284,8.386100386100386,8.386100386100386,11.0,11.0,-0.3467374810318664,0.01880726571290792,-0.4826522744795682,-4.3865740740740735,-0.23897419144070564,-0.233502538071066,-0.1488673139158576,0.7222222222222221,-0.029411764705882363,-0.22377622377622364,0.3903240958196337,0.3333333333333335,-0.002680965147452974,-0.14432989690721654,-0.0119760479041916,-0.038954026535019996
4,1995-03-31,-0.005724203026520103,-0.03077739880301178,-0.007102212558067311,-0.014462395766516978,-0.004456252720198006,0.014299226139294909,-1.4701768819415877,-1.4701768819415877,-1.5,-1.5,0.6129500580720093,-0.5544335752603344,1.9617486338797816,-2.588516746411483,0.498819489160764,0.0927152317880795,-0.1488673139158576,0.7222222222222221,-0.015151515151515138,0.12612612612612595,0.3903240958196337,0.25,0.0013440860215052641,-0.14432989690721654,-0.0119760479041916,-0.016534232281884553
5,1995-06-30,0.04263767672127794,0.07742808293079695,0.06181740614334474,0.07544771338207923,0.02503670353332676,0.09339369124216912,3.936132983377078,3.936132983377078,3.833333333333333,3.833333333333333,-0.8303330333033303,0.488314447592068,-1.3384770211338477,-1.1290877796901893,-0.04296147787483895,0.12121212121212133,-0.1488673139158576,0.7222222222222221,0.030769230769230882,0.14000000000000012,0.3903240958196337,0.2,-0.016874400767018072,-0.14432989690721654,-0.0119760479041916,0.0017954786582876636
6,1995-09-29,-0.025422124754426845,-0.05862958826021648,-0.03242396239302503,-0.049871397231258,-0.01876607338374969,-0.06567684912389515,-0.7224388514711095,-0.7224388514711095,-0.7241379310344827,-0.7241379310344827,6.412201591511936,-0.3944801332381632,-5.704658077304263,-7.4433333333333325,0.28924135867125544,0.0,0.456273764258555,0.7222222222222221,-0.0149253731343284,-0.03157894736842115,0.1363738738738738,0.0,0.006826604251999102,0.4698795180722892,-0.01818181818181808,-0.009205702647657963
7,1995-12-31,-0.018269733052947438,-0.024786422703021227,-0.0345624671262077,-0.03360934731981136,-0.0029971974257836376,-0.018272494170559872,0.1500638569604087,0.1500638569604087,0.125,0.125,0.4312911537360435,-0.07701375245579567,0.5704655571940174,0.4169684428349716,0.3178969359331476,-0.07567567567567579,0.7154046997389032,0.7222222222222221,0.0,-0.061594202898550665,-0.3440689723516004,0.16666666666666674,0.01549786904300654,0.7131147540983604,0.006172839506172646,0.009126788357178173
8,1996-03-29,0.034640834981922275,0.10618837843507456,0.057850291760455315,0.07977260790311114,0.013573482906261036,0.02739482870836052,1.1365907828983897,1.1365907828983897,1.2222222222222223,1.2222222222222223,-1.2926292629262923,-1.2945934440187314,-1.192823608316566,-1.8342460752099303,-0.2012329370321444,-0.04678362573099415,0.26179604261796063,0.25513196480938416,0.0,-0.04633204633204624,-0.4316361988215742,0.1428571428571428,-0.0204120564669974,0.2583732057416268,0.0,0.02452538091746104
9,1996-06-28,-0.01207571801566576,-0.01134794811499662,-0.056577306733167076,-0.0895304586683453,0.0300832006573879,0.10760358047849404,0.5932952182952183,0.5932952182952183,0.5499999999999998,0.5499999999999998,-3.073820915926179,-0.8627167630057804,-5.0020869565217385,-1.3172866520787747,0.07993384785005507,0.08588957055214741,0.031363088057901216,0.044392523364485965,0.03030303030303028,0.08502024291497977,-0.1446039340776183,0.125,0.04264849074975663,0.026615969581748944,0.018404907975460242,0.08581199300143139
10,1996-09-27,0.02115639380257805,0.06653674405757526,0.031554601024285533,0.04480410643201349,0.012134318870205885,0.018294992832047045,-0.15217745881585387,-0.15217745881585387,-0.129032258064516,-0.129032258064516,-0.1540870138431114,-3.6,-0.7147575178167913,8.292413793103448,0.6877998979070954,0.0,0.2561403508771929,0.2639821029082776,0.014705882352941124,-0.029850746268656688,-0.029210689869484163,0.11111111111111116,-0.008778483376914559,0.22962962962962966,0.024096385542168752,0.020801289093971945
11,1996-12-31,0.006398420982115072,-0.02508524811878621,-0.006635935715678332,-0.009855921072420505,0.01792476647311281,-0.018848931358961263,0.16410157752981913,0.16410157752981913,0.14814814814814814,0.14814814814814814,0.6688096629651277,27.315789473684212,0.1480804387568555,-0.054475285735490535,0.3853133317203001,0.028248587570621538,0.2281191806331471,0.2353982300884956,0.028985507246376937,0.015384615384615332,-0.1965428937259922,0.09999999999999988,0.011494252873563315,0.21084337349397586,0.01764705882352935,-0.015354810934921304
